Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
Ederson,21,27a,MUN,MCI,1,6.1,GKP,10.2,3.5,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,406.6,10.0,0.0,41.8,3.5,0.0,0.6,19.8,4.5,22839.0,19839.0,1.0,-1.0,27.0,0.0,0.0,0.0,0.0,0.10000000000000053,0.11000000000000032,0.0,0.0,0.01,0.01,0.01,0.21,0.2,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
Bernardo Silva,21,27a,MUN,MCI,1,7.4,MID,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.8,328.4,377.0,101.5,3.0,0.0,0.4,9.3,3.5,7767.0,13727.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.36,0.36,0.71,0.43,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
Fernandinho,21,27a,MUN,MCI,1,5.4,DEF,0.7,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.6,79.2,55.0,25.9,1.4,0.0,0.3,7.0,2.9,281.0,665.0,-1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.02,0.1,0.1,0.55,0.52,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
Dias,21,27a,MUN,MCI,1,6.1,DEF,24.7,2.9,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,520.6,72.0,185.0,78.0,2.9,0.0,0.5,19.7,4.8,96169.0,14833.0,6.0,-6.0,25.0,0.0,0.0,0.0,0.02,0.6400000000000006,0.6399999999999988,0.07,0.07,0.0,0.07,0.07,0.52,0.52,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
Sterling,21,27a,MUN,MCI,1,11.6,MID,10.2,3.4,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,574.2,472.6,1155.0,220.1,3.4,0.0,0.3,11.4,5.3,25775.0,96026.0,1.0,-1.0,25.0,0.0,0.34999999999999964,0.34999999999999964,0.04999999999999982,0.4299999999999997,0.07000000000000028,0.45,0.42,0.22,0.67,0.64,0.91,0.45,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
Cancelo,21,27a,MUN,MCI,1,6.2,DEF,24.6,2.2,1.0,64.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,422.2,551.7,328.0,130.3,2.2,0.0,0.4,17.7,5.0,19093.0,91399.0,7.0,-7.0,22.0,0.0,0.020000000000000018,0.020000000000000018,0.06000000000000005,0.25,0.1800000000000015,0.08,0.08,0.19,0.27,0.27,0.73,0.58,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
De Bruyne,21,27a,MUN,MCI,1,11.8,MID,16.8,2.0,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,602.4,1015.8,813.0,243.3,2.0,0.0,0.2,9.4,5.0,201646.0,18239.0,3.0,-3.0,22.0,0.0,0.21000000000000085,0.20999999999999996,0.6199999999999992,0.7699999999999996,0.09999999999999964,0.44,0.32,0.48,0.92,0.8,0.94,0.47,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
Gündogan,21,27a,MUN,MCI,1,6.2,MID,38.6,5.4,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,600.6,507.2,576.0,168.6,5.4,0.0,0.9,21.6,6.1,143948.0,76082.0,7.0,-7.0,22.0,0.0,0.1999999999999993,0.20000000000000018,0.10000000000000009,0.4900000000000002,0.25,0.43,0.35,0.16,0.59,0.51,0.81,0.42,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
Mahrez,21,27a,MUN,MCI,1,8.1,MID,5.5,4.8,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,479.2,589.9,716.0,178.4,4.8,0.0,0.6,13.7,5.0,101065.0,12994.0,-4.0,4.0,22.0,0.0,0.15000000000000036,0.15000000000000036,0.11999999999999922,0.46000000000000085,0.22000000000000064,0.27,0.27,0.3,0.57,0.57,0.82,0.34,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
Stones,21,27a,MUN,MCI,1,5.3,DEF,24.2,3.1,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,411.4,54.9,131.0,59.7,3.1,0.0,0.6,20.4,6.4,48136.0,39355.0,3.0,-3.0,17.0,0.0,0.040000000000000036,0.040000000000000036,0.0,0.5800000000000001,0.5599999999999987,0.1,0.1,0.0,0.1,0.1,0.51,0.51,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.2800000000000011,1.2700000000000031,2.1099999999999994,1.3500000000000014,-0.0799999999999983,-0.10999999999999943,0.08999999999999986,13.0,4.0,0.75,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285
